log_lambda,lambda,avg_train_error_no_noise,avg_test_error_no_noise,avg_train_error_with_noise,avg_test_error_with_noise,error_ratio_no_noise,error_ratio_with_noise,sparsity_ratio_no_noise,sparsity_ratio_with_noise
-3.101441145665449,0.044984326689694466,1.1462931302479162,1.1385487481204575,1.1462931302479162,1.1385487481204575,0.9932439775454435,0.9932439775454435,0.0,0.0
-2.960466548135202,0.0517947467923121,1.1462931302479162,1.1385487481204575,1.1462931302479162,1.1385487481204575,0.9932439775454435,0.9932439775454435,0.0,0.0
-2.819491950604954,0.05963623316594643,1.1462931302479162,1.1385487481204575,1.1462931302479162,1.1385487481204575,0.9932439775454435,0.9932439775454435,0.0,0.0
-2.678517353074706,0.06866488450043001,1.1462931302479162,1.1385487481204575,1.1462931302479162,1.1385487481204575,0.9932439775454435,0.9932439775454435,0.0,0.0
-2.5375427555444587,0.07906043210907697,1.1462931302479162,1.1385487481204575,1.1462931302479162,1.1385487481204575,0.9932439775454435,0.9932439775454435,0.0,0.0
-2.396568158014211,0.09102981779915217,1.1462931302479162,1.1385487481204575,1.1462931302479162,1.1385487481204575,0.9932439775454435,0.9932439775454435,0.0,0.0
-2.2555935604839634,0.10481131341546852,1.1462931302479162,1.1385487481204575,1.1462931302479162,1.1385487481204575,0.9932439775454435,0.9932439775454435,0.0,0.0
-2.114618962953715,0.1206792640639329,1.1462931302479162,1.1385487481204575,1.1462931302479162,1.1385487481204575,0.9932439775454435,0.9932439775454435,0.0,0.0
-1.9736443654234679,0.13894954943731375,1.1462931302479162,1.1385487481204575,1.1462931302479162,1.1385487481204575,0.9932439775454435,0.9932439775454435,0.0,0.0
-1.8326697678932204,0.15998587196060574,1.1462931302479162,1.1385487481204575,1.1462931302479162,1.1385487481204575,0.9932439775454435,0.9932439775454435,0.0,0.0
-1.6916951703629721,0.18420699693267165,1.1462931302479162,1.1385487481204575,1.1462931302479162,1.1385487481204575,0.9932439775454435,0.9932439775454435,0.0,0.0
-1.5507205728327247,0.21209508879201905,1.1462931302479162,1.1385487481204575,1.1462931302479162,1.1385487481204575,0.9932439775454435,0.9932439775454435,0.0,0.0
-1.4097459753024775,0.244205309454865,1.1462931302479162,1.1385487481204575,1.1462931302479162,1.1385487481204575,0.9932439775454435,0.9932439775454435,0.0,0.0
